	afumigatus	anidulans	calbicans
Number of genes	9929	10776	6030
Number of genes in orthogroups	91	142	143
Number of unassigned genes	9838	10634	5887
Percentage of genes in orthogroups	0.9	1.3	2.4
Percentage of unassigned genes	99.1	98.7	97.6
Number of orthogroups containing species	55	53	67
Percentage of orthogroups containing species	36.2	34.9	44.1
Number of species-specific orthogroups	32	30	67
Number of genes in species-specific orthogroups	68	119	143
Percentage of genes in species-specific orthogroups	0.7	1.1	2.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	97	99	85
'1	23	23	0
'2	28	22	61
'3	4	2	5
'4	0	0	0
'5	0	1	0
'6	0	1	1
'7	0	1	0
'8	0	1	0
'9	0	0	0
'10	0	0	0
11-15	0	0	0
16-20	0	1	0
21-50	0	1	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	63.8	65.1	55.9
'1	15.1	15.1	0.0
'2	18.4	14.5	40.1
'3	2.6	1.3	3.3
'4	0.0	0.0	0.0
'5	0.0	0.7	0.0
'6	0.0	0.7	0.7
'7	0.0	0.7	0.0
'8	0.0	0.7	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.7	0.0
21-50	0.0	0.7	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	23	23	0
'2	56	44	122
'3	12	6	15
'4	0	0	0
'5	0	5	0
'6	0	6	6
'7	0	7	0
'8	0	8	0
'9	0	0	0
'10	0	0	0
11-15	0	0	0
16-20	0	18	0
21-50	0	25	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	0.2	0.2	0.0
'2	0.6	0.4	2.0
'3	0.1	0.1	0.2
'4	0.0	0.0	0.0
'5	0.0	0.0	0.0
'6	0.0	0.1	0.1
'7	0.0	0.1	0.0
'8	0.0	0.1	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.2	0.0
21-50	0.0	0.2	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
